BooksVersusMovies.com — Advice
==============================
Model:     Claude Sonnet (anthropic/claude-sonnet-4-5)
Generated: 2026-04-16T18:22:17.254Z
Duration:  320817ms

── Question ──────────────────────────────────────────────────────────

PRIMARY QUESTION
================
Revised SEO Optimization Prompt
ACT AS A SENIOR SEO ARCHITECT AND CONTENT STRATEGIST WITH 20+ YEARS OF EXPERIENCE IN SEARCH ALGORITHMS. Your task is to audit and revise the provided CSV data to meet EXACT TECHNICAL SPECIFICATIONS for 2026 search engine standards. Failure to adhere to these limits will result in content truncation and loss of Search Engine Result Page (SERP) visibility.

🛑 ABSOLUTE CHARACTER LIMITS (HARD STOPS)
You must treat these limits as PHYSICAL BARRIERS. Do not exceed them by even a single character:

PAGE TITLE (pageTitle): * MAXIMUM: 60 CHARACTERS. * OPTIMAL RANGE: 50–55 CHARACTERS.
REASONING: Google truncates titles at ~600 pixels. To ensure your "Book vs Movie" branding and the "Hook" are visible, you must be concise.
META DESCRIPTION (metaDesc):
MAXIMUM: 155 CHARACTERS.
OPTIMAL RANGE: 120–150 CHARACTERS.
REASONING: Mobile search results are more restrictive. Key information MUST appear in the first 120 characters.
URL SLUG (slug):
MAXIMUM: 75 CHARACTERS.
REASONING: Short, keyword-dense slugs perform better for crawl depth and user sharing.
🛠 REVISION INSTRUCTIONS
IDENTIFY: Scan the pageTitle and metaDesc columns for any entry exceeding the limits above.
REWRITE: Edit the text to be punchy and keyword-rich while staying within the SAFE ZONE.
PRESERVE TONE: Maintain the analytical "Book vs Movie" comparison style. Ensure the "Winner" or the "Comparison Hook" remains clear.
FORMAT: Output the revised data in a clean CSV format using UTF-8 with BOM to ensure special characters (like en-dashes and accents in author names) render perfectly in Excel and web crawlers.

THIS IS CRITICAL FOR THE SITE’S INDEXATION INTEGRITY. DO NOT HALLUCINATE OR REMOVE ROWS. ONLY REVISE THE TEXT FOR LENGTH COMPLIANCE.

Your response should only be in the form of the updated and improved CSV

SUPPORTING INFORMATION
======================
The following files provide additional context. They are not questions — treat them as background information only.


--- seo-metadata-for-review.txt ---
filename,slug,pageTitle,metaDesc,oneLineReason,verdict,lastUpdated
"hitchhikers-guide.html","hitchhikers-guide","The Hitchhiker's Guide to the Galaxy Book vs Movie: Hitchhiker's…","Adams wrote a novel where the narrator is funnier than the plot. Jennings cast it well and missed the point. Read the book first.","Adams's narrative voice—the asides, digressions, deadpan prose—is the joke itself.","Book Wins","2026-04-11"
"howls-moving-castle.html","howls-moving-castle","Howl's Moving Castle Book vs Movie: Jones Gives Sophie Magic. Mi…","Jones's Sophie breaks curses without knowing it. Miyazaki's breaks them by feeling everything. Both are essential. Read the book first.","Jones's Sophie unknowingly breaks curses through magic; Miyazaki's transforms through feeling.","Too Close to Call","2026-04-11"
"hunger-games-sunrise.html","hunger-games-sunrise","Hunger Games Book vs Movie: Collins's Propaganda vs Fiennes's Sn…","The book gives you the ideology behind the Games. The film will give you the man who built them. Both are essential—in different ways.","Collins's propaganda argument exists only on the page; Fiennes's Snow exists only on screen.","Too Close to Call","2026-04-11"
"i-am-legend.html","i-am-legend","I Am Legend: Book vs Film — Matheson's Ending Inverts Everything","Richard Matheson","The novella's ending redefines Neville as monster, not hero—the film inverts this entirely.","Book Wins","2026-04-11"
"i-robot.html","i-robot","I, Robot Book vs Movie: Asimov's Puzzles Become Will Smith's Pro…","The Three Laws are the foundation of science fiction ethics. Proyas uses them as window dressing for explosions. Read the book.","Asimov's Three Laws function as philosophical puzzles; the film uses them as plot furniture.","Book Wins","2026-04-11"
"interview-with-the-vampire-amcplus.html","interview-with-the-vampire-amcplus","Interview with the Vampire Book vs Series: Rice's Grief Lives in…","AMC's series is bold and brilliant. It still can't give you what Rice does with language alone. Read the book first.","Rice's baroque prose cannot be replicated on screen.","Book Wins","2026-04-11"
"into-the-wild.html","into-the-wild","Into the Wild Book vs Movie: Penn Made McCandless a Martyr. Krak…","The book gives you Everett Ruess, Gene Rosellini, the context that explains Chris. The film gives you a beautiful death. Read first.","Krakauer's parallel stories of other wilderness seekers provide context Penn's film omits.","Book Wins","2026-04-11"
"it-ends-with-us.html","it-ends-with-us","It Ends With Us Book vs Movie: Hoover Shows Why Lily Stays. Bald…","The novel makes you understand the rationalizations that keep Lily trapped. The film only shows the violence. Read the book first.","Lily's interior rationalizations of abuse exist only in Hoover's prose.","Book Wins","2026-04-11"
"it-muschietti.html","it-muschietti","It Book vs Movie: King's Cosmic Horror Lives Only in the Book's …","Muschietti made the best King adaptation in years. He still can't touch the novel's dual timeline or what It actually is. Read the book first.","King's dual timeline and cosmic mythology exist only on the page.","Book Wins","2026-04-11"
"jane-eyre.html","jane-eyre","Jane Eyre Book vs Movie: Brontë's 'Reader, I Married Him' Can't …","Fukunaga made the finest adaptation yet. It's still considerably less than the novel. Jane's voice is its own world.","Jane's direct address to the reader exists only on the page.","Book Wins","2026-04-11"
"jaws.html","jaws","Jaws Book vs Movie: Spielberg's Restraint Beats Benchley's Pulp","Jaws book vs movie: Spielberg made Benchley's B-movie premise mythic. Either order works — the film transcends the novel's pulp completely.","Spielberg's restraint transcends Benchley's overwritten pulp.","Film Wins","2026-04-15"
"jurassic-park.html","jurassic-park","Jurassic Park Book vs Movie: Crichton's Chaos Theory Dies in Spi…","Spielberg made cinema magic. Crichton wrote a warning about hubris that the film turned into a theme park ride. Read the book first.","Crichton's chaos theory argument survives only on the page; Spielberg's dinosaurs exist only on screen.","Book Wins","2026-04-11"
"kite-runner.html","kite-runner","The Kite Runner Book vs Movie: Forster Can't Trap You in Amir's …","Hosseini makes you live inside Amir's shame for 400 pages. Forster's film is sincere but can't replicate that suffocation. Read first.","Only the novel traps you inside Amir's guilty conscience for four hundred pages.","Book Wins","2026-04-11"
"la-confidential.html","la-confidential","LA Confidential Book vs Movie: Ellroy's Staccato Owns the Page. …","One of the great American crime novels. One of the great American crime films. Different achievements at different scales. Read both.","Ellroy's staccato prose owns the page; Hanson's visual compression owns the screen.","Too Close to Call","2026-04-11"
"lady-chatterleys-lover.html","lady-chatterleys-lover","Lady Chatterley's Lover Book vs Movie","","Film deepens Lawrence's sexual politics beyond the novel's reach.","Film Wins","2026-04-15"
"les-miserables.html","les-miserables","Les Misérables Book vs Movie: Hugo's Valjean Thinks. Hooper's Ju…","The musical is magnificent spectacle. It still can't give you the moral crisis that happens inside Valjean's head. Read the book first.","Hugo's philosophical digressions and Valjean's internal crises cannot be sung.","Book Wins","2026-04-11"
"little-women.html","little-women","Little Women Book vs Movie: Alcott's Moral Voice vs Gerwig's Str…","Alcott wrote the great American novel of female ambition. Gerwig made it formally inventive. Both are essential. Read and watch in either order.","Alcott's moral voice exists only on the page; Gerwig's non-linear structure exists only on screen.","Too Close to Call","2026-04-11"
"lonesome-dove.html","lonesome-dove","Lonesome Dove Book vs Movie: Duvall Is Perfect. He Still Can't S…","McMurtry gives you decades of silence between Call and Gus. The miniseries gives you their faces. Read the book first—then watch them ride.","McMurtry's interior monologues give Gus and Call depths Duvall and Jones cannot fully capture.","Book Wins","2026-04-11"
"looking-for-alaska.html","looking-for-alaska","Looking for Alaska Book vs Series: Green Traps You in Pudge's Gr…","The novel's first-person spiral makes Alaska's death unbearable in ways the series can't touch. You need to feel it from inside Pudge's head.","First-person narration traps you inside Pudge's grief; the series watches from outside.","Book Wins","2026-04-11"
"lord-of-the-flies.html","lord-of-the-flies","Lord of the Flies Book vs Movie: Golding Makes You Complicit. Br…","The novel's ironic voice implicates the reader in the horror. Brook's film is raw and sincere, but it can't argue what Golding argues.","Golding's ironic narrative voice implicates the reader; the film presents events without that frame.","Book Wins","2026-04-11"
"love-simon.html","love-simon","Simon vs. the Homo Sapiens Agenda Book vs Movie: Love, Simon: Th…","Albertalli's Simon is anxious, messy, self-sabotaging. Berlanti's is a rom-com lead. The neuroses are what make the coming-out story work.","Albertalli's first-person voice captures Simon's neuroses; the film smooths them away.","Book Wins","2026-04-11"
"margos-got-money-troubles.html","margos-got-money-troubles","Margo's Got Money Troubles Book vs Series: Thorpe's Voice Is Unt…","Walsh cast it perfectly. The series is warm, sharp, excellent. But Thorpe's first-person wit lives only on the page. Read the book first.","Thorpe's first-person prose voice—witty, precise, irreplaceable—is the novel's defining asset.","Book Wins","2026-04-11"
"me-before-you.html","me-before-you","Me Before You Book vs Movie: The Book Lets Will Explain. The Fil…","Moyes gives you Will's reasoning in his own voice. Clarke can only show his exterior. The novel earns what the film can't. Read first.","Will's alternating first-person chapters give you his reasoning; the film shows only his exterior.","Book Wins","2026-04-11"
"mickey-17.html","mickey-17","Mickey 17 Book vs Movie: Ashton's Dread Lingers. Bong's Resolves.","Joon-ho made a stunning film. It still can't hold the existential terror Ashton sustains in Mickey's head. Read the book first.","Ashton's internal monologue sustains existential dread the film resolves too easily.","Book Wins","2026-04-11"
"misery.html","misery","Misery Book vs Movie: King's Axe vs Bates's Face — Both Win","The novel has Paul's terror and the full horror of the hobbling. The film has Kathy Bates. One of the rare ties where both versions are essential.","King's interior monologue and serial killer backstory versus Bates's definitive Oscar-winning performance.","Too Close to Call","2026-04-11"
"my-brilliant-friend.html","my-brilliant-friend","My Brilliant Friend Book vs Movie: Without Elena's Jealousy, Lil…","Costanzo's series is beautiful. But Ferrante's unreliable narrator is the story—and HBO can't show what Elena won't admit she feels.","Elena's jealous, unreliable narration exists only on the page.","Book Wins","2026-04-11"
"my-sisters-keeper.html","my-sisters-keeper","My Sister's Keeper Book vs Movie: The Book's Seven Voices Make t…","Picoult gives every family member a chapter. Cassavetes gives Cameron Diaz a voiceover. The moral weight disappears. Read the book first.","Seven narrators create moral complexity the film's single voiceover cannot replicate.","Book Wins","2026-04-11"
"narnia-magicians-nephew.html","narnia-magicians-nephew","The Magician's Nephew Book vs Movie: Aslan's Song Can't Survive …","Lewis made you hear creation in silence. Gerwig will give you a soundtrack. The book's magic lives in what you imagine, not what you see.","Lewis's creation song only works when you imagine it yourself.","Book Wins","2026-04-11"
