BooksVersusMovies.com — Titles Sanity Check
===========================================
Generated: 2026-04-12
Source:    C:\Users\andre\projects\movies\pipeline\2-revised
into-the-wild: Into the Wild: Krakauer Questions McCandless. Penn Canonizes Him.  (65)
it-ends-with-us: It Ends With Us: Hoover's Abuse Story Loses Its Nerve on Screen  (63)
it-muschietti: It: King's Novel Haunts You. Muschietti's Film Just Scares You.  (63)
jane-eyre: Jane Eyre: Book vs Movie — Charlotte Brontë vs Cary Joji Fukunaga  (65)
jurassic-park: Jurassic Park: Spielberg Made a Thrill Ride. Crichton Wrote a Warning.  ⚠ slightly long (70)
kite-runner: The Kite Runner: Hosseini's Guilt Haunts. Forster's Just Explains.  ⚠ slightly long (66)
la-confidential: LA Confidential: Ellroy's Sprawl vs Hanson's Perfect Machine  (60)
les-miserables: Les Misérables: Hugo's Sewers and Barricades Need 1,400 Pages  (61)
little-women: Little Women: Alcott Wrote Ambition. Gerwig Filmed Its Cost.  (60)
lonesome-dove: Lonesome Dove: McMurtry's Gus Lives in Your Head. Duvall's Dies.  (64)
looking-for-alaska: Looking for Alaska: Green's Grief Hits Where Hulu Just Aches  (60)
lord-of-the-flies: Lord of the Flies: Golding Implicates You. Brook Just Shows.  (60)
love-simon: Love, Simon: The Film Softens What Albertalli Made Ache  (55)
margos-got-money-troubles: Margo's Got Money Troubles: Thorpe's Sharp Edges Get Sanded Down  (64)
me-before-you: Me Before You: Moyes Wrote What Clarke Can't Quite Carry  (56)
mickey-17: Mickey 17: Ashton's Clones Ask Questions Bong Can't Answer  (58)
misery: Misery: King's Axe vs Bates's Face — Both Win  (45)
my-brilliant-friend: My Brilliant Friend: Ferrante's Naples Lives. The Film Just Visits  ⚠ slightly long (66)
my-sisters-keeper: My Sister's Keeper: The Film Erases the Ending That Justifies Anna  ⚠ slightly long (66)
narnia-magicians-nephew: The Magician's Nephew: Lewis Created a World. Can Gerwig?  (57)
never-let-me-go: Never Let Me Go: Romanek's Faithful. Ishiguro's Devastating.  (60)
normal-people: Normal People: Rooney's Silences vs. Mescal's Face  (50)
of-mice-and-men: Of Mice and Men: Steinbeck's Spare Prose vs Malkovich's Lennie  (62)
olive-kitteridge: Olive Kitteridge: Strout's Fractures Need 13 Stories, Not 4  (59)
on-the-road: On the Road: The Jazz Is in Kerouac's Sentences, Not the Scenes  (63)
one-day: One Day: Nicholls's 20-Year Arc Breaks You. The Film Just Rushes.  (65)
one-flew-over-the-cuckoos-nest: One Flew Over the Cuckoo's Nest: Kesey Gives You Chief's Mind  (61)
outlander: Outlander: Gabaldon's Jamie Lives in Your Head. Heughan Can't.  (62)
pachinko: Pachinko: Lee's Four Generations Need 500 Pages, Not 8 Hours  (60)
people-we-meet-on-vacation: People We Meet on Vacation: Book vs Movie — Emily Henry vs Brett Haley  ⚠ slightly long (70)
perks-of-being-a-wallflower: The Perks of Being a Wallflower: Book vs Movie — Chbosky vs Chbosky  ⚠ slightly long (67)
pet-sematary-2019: Pet Sematary: King Scared Himself. The 2019 Film Just Scares You.  (65)
presumed-innocent: Presumed Innocent: Turow Invented the Genre. Gyllenhaal Can't.  (62)
pride-and-prejudice: Pride and Prejudice: Austen's Wit Can't Be Filmed  (49)
project-hail-mary: Project Hail Mary: Weir's Science Is Joy. Film Can't Be.  (56)
ready-player-one: Ready Player One: Cline's Geek Bible vs Spielberg's Spectacle  (61)
rebecca: Rebecca: Du Maurier's Ending Is Dark. Hitchcock's Is Tamed.  (59)
remains-of-the-day: The Remains of the Day: What Stevens Won't Say Can't Be Filmed  (62)
remarkably-bright-creatures: Remarkably Bright Creatures: The Octopus Loses His Voice on Screen  ⚠ slightly long (66)
reminders-of-him: Reminders of Him: Hoover's Grief Hits Harder Than Monroe Can Show  (65)
room: Room: Jack's Voice on the Page, Larson's Face on Screen  (55)
roots-2016: Roots: Haley's Generations Feel Real. The Miniseries Rushes.  (60)
rosemarys-baby: Rosemary's Baby: Levin's Paranoia, Farrow's Face — Both Essential  (65)
schindlers-list: Schindler's List: Spielberg Made What Keneally Couldn't  (55)
seabiscuit: Seabiscuit: Hillenbrand's Depression-Era Detail Drowns Ross  (59)
sense-and-sensibility: Sense and Sensibility: Austen's Precision vs Lee's Warmth  (57)
shadow-and-bone: Shadow and Bone: Bardugo's Villain Earns What Netflix Borrows  (61)
sharp-objects: Sharp Objects: Flynn's Interiority Is What Adams Can't Show  (59)
shogun-2024: Shogun: Clavell's Blackthorne Can't See What the Series Does  (60)
silence-of-the-lambs: Silence of the Lambs: Harris Wrote Dread. Demme Filmed It.  (58)
sophies-choice: Sophie's Choice: Streep Owns the Screen. Styron Owns Your Mind.  (63)
sphere: Sphere: Crichton's Paranoia Is Suffocating. Levinson's Is Just Wet.  ⚠ slightly long (67)
stardust: Stardust: Gaiman Wrote a Fairy Tale. Vaughn Made It Warm.  (57)
station-eleven: Station Eleven: Mandel's Precision vs Somerville's Generosity  (61)
talented-mr-ripley: The Talented Mr. Ripley: Book vs Movie — Highsmith vs Minghella  (63)
the-book-thief: The Book Thief: Death's Voice Makes the Book. The Film Is Just War.  ⚠ slightly long (67)
the-client: The Client: Grisham's Mark Sway Has Depth Schumacher Can't Touch  (64)
the-color-purple: The Color Purple: Walker's Letters Cut Deeper Than Spielberg Can  (64)
the-count-of-monte-cristo: The Count of Monte Cristo: The Film Rushes What Dumas Savored  (61)
the-electric-state: The Electric State: Stålenhag's Silence Is What the Russos Can't Buy  ⚠ slightly long (68)
the-fault-in-our-stars: The Fault in Our Stars: Green's Wit Survives What Boone Softens  (63)
the-firm: The Firm: Grisham's Ending Is Brilliant. Pollack Throws It Away.  (64)
the-girl-with-the-dragon-tattoo-fincher: Dragon Tattoo: Larsson's Lisbeth vs Fincher's — Both Essential  (62)
the-giver: The Giver: Lowry's Restraint Does What Noyce's Action Can't  (59)
the-glass-castle: The Glass Castle: Walls's Forgiveness Earned. Larson's Borrowed.  (64)
the-great-gatsby: The Great Gatsby: Fitzgerald's 180 Pages Last. Luhrmann Fades.  (62)
the-handmaids-tale: The Handmaid's Tale: Atwood's Precision vs Hulu's Expansion  (59)
the-haunting-of-hill-house: The Haunting of Hill House: Jackson's Mind vs Flanagan's Family  (63)
the-help: The Help: Stockett's Three Voices Do What Davis Alone Can't  (59)
the-hours: The Hours: Cunningham's Rhythms vs. Three Performances  (54)
the-housemaid: The Housemaid: McFadden's Payoff Lands. Feig's Just Winks.  (58)
the-lincoln-lawyer: The Lincoln Lawyer: Connelly's Trap Tightens. The Film Just Moves.  ⚠ slightly long (66)
the-longest-ride: The Longest Ride: Sparks Earns the Parallel. The Film Just Cuts.  (64)
the-lovely-bones: The Lovely Bones: Sebold's Restraint vs Jackson's Spectacle  (59)
the-martian: The Martian: Weir's Math vs Damon's Face — Both Save Watney  (59)
the-maze-runner-film: The Maze Runner: Dashner's Mystery Unfolds. Ball Just Runs.  (59)
the-maze-runner: The Maze Runner: Dashner's Mystery Sustains. Ball's Just Runs.  (62)
the-notebook: The Notebook: Sparks Wrote the Love. Gosling Just Sold It.  (58)
the-odyssey: The Odyssey: Nolan's 2026 Film vs. Homer's 2,800-Year Test  (58)
the-outsider: The Outsider: King's Pivot Lands. HBO Telegraphs It.  (52)
the-outsiders: The Outsiders: Hinton Wrote Raw. Coppola Made It Sacred.  (56)
the-pelican-brief: The Pelican Brief: Grisham's Conspiracy Thrills. Pakula's Just Runs.  ⚠ slightly long (68)
the-pianist: The Pianist: Szpilman's Restraint vs Polanski's Silence  (55)
the-picture-of-dorian-gray: Dorian Gray: Wilde's Wit Makes the Horror Work. Parker's Doesn't.  (65)
the-pillars-of-the-earth: The Pillars of the Earth: Follett Teaches You to Build a Cathedral  ⚠ slightly long (66)
the-princess-bride: The Princess Bride: Goldman Wrote Both. Both Are Perfect.  (57)
the-road: The Road: McCarthy's Prose Is the Story. Hillcoat Just Films It.  (64)
the-secret-garden: The Secret Garden: Burnett's Slow Healing vs Munden's Rush  (58)
the-secret-life-of-bees: The Secret Life of Bees: Kidd's Lily Grows Up. Fanning Just Cries.  ⚠ slightly long (66)
the-shining: The Shining: King's Horror Story vs Kubrick's Haunted Object  (60)
the-sisterhood-of-the-traveling-pants: Sisterhood: Brashares Gives You Four Girls. Kwapis Gives You One.  (65)
the-three-body-problem: The Three-Body Problem: Liu's Physics Makes Netflix Look Small  (62)
the-thursday-murder-club: The Thursday Murder Club: Osman's Wit Gets Lost in Translation  (62)
the-time-travelers-wife: The Time Traveler's Wife: Niffenegger's Structure Is the Story  (62)
the-witcher: The Witcher: Sapkowski's Cynicism Gets Lost in Netflix's Timelines  ⚠ slightly long (66)
the-woman-in-the-window: The Woman in the Window: Finn's Twist Works. Wright Just Looks Good.  ⚠ slightly long (68)
thirteen-reasons-why: Thirteen Reasons Why: The Book Trusts You. The Series Doesn't.  (62)
to-kill-a-mockingbird: To Kill a Mockingbird: Scout's Voice vs. Peck's Presence  (56)
verity: Verity: Hoover's Manuscript Twist Only Works on the Page  (56)
water-for-elephants: Water for Elephants: Gruen's Dangerous. Lawrence's Safe.  (56)
where-the-crawdads-sing: Where the Crawdads Sing: Book vs Movie — Key Differences  (56)
white-noise: White Noise: DeLillo's Dread Lives in Prose Baumbach Can't Film  (63)
wolf-hall: Wolf Hall: Mantel Gives You Cromwell's Mind. Rylance His Face.  (62)
world-war-z: World War Z: Brooks' Oral History vs Forster's Generic Thriller  (63)
wuthering-heights: Wuthering Heights: Brontë's Strangeness Is What Fennell Can't Film  ⚠ slightly long (66)

===========================================
Total:       163
Over target: 19  (>65 chars)
Over limit:  0  (>75 chars)

── Flagged titles ───────────────────────────
  ⚠ slightly long — annihilation (66 chars)
    Annihilation: VanderMeer's Horror Accumulates. Garland's Explodes.
  ⚠ slightly long — cold-mountain (70 chars)
    Cold Mountain: Frazier's Prose Is the Journey. The Film's Just Pretty.
  ⚠ slightly long — jurassic-park (70 chars)
    Jurassic Park: Spielberg Made a Thrill Ride. Crichton Wrote a Warning.
  ⚠ slightly long — kite-runner (66 chars)
    The Kite Runner: Hosseini's Guilt Haunts. Forster's Just Explains.
  ⚠ slightly long — my-brilliant-friend (66 chars)
    My Brilliant Friend: Ferrante's Naples Lives. The Film Just Visits
  ⚠ slightly long — my-sisters-keeper (66 chars)
    My Sister's Keeper: The Film Erases the Ending That Justifies Anna
  ⚠ slightly long — people-we-meet-on-vacation (70 chars)
    People We Meet on Vacation: Book vs Movie — Emily Henry vs Brett Haley
  ⚠ slightly long — perks-of-being-a-wallflower (67 chars)
    The Perks of Being a Wallflower: Book vs Movie — Chbosky vs Chbosky
  ⚠ slightly long — remarkably-bright-creatures (66 chars)
    Remarkably Bright Creatures: The Octopus Loses His Voice on Screen
  ⚠ slightly long — sphere (67 chars)
    Sphere: Crichton's Paranoia Is Suffocating. Levinson's Is Just Wet.
  ⚠ slightly long — the-book-thief (67 chars)
    The Book Thief: Death's Voice Makes the Book. The Film Is Just War.
  ⚠ slightly long — the-electric-state (68 chars)
    The Electric State: Stålenhag's Silence Is What the Russos Can't Buy
  ⚠ slightly long — the-lincoln-lawyer (66 chars)
    The Lincoln Lawyer: Connelly's Trap Tightens. The Film Just Moves.
  ⚠ slightly long — the-pelican-brief (68 chars)
    The Pelican Brief: Grisham's Conspiracy Thrills. Pakula's Just Runs.
  ⚠ slightly long — the-pillars-of-the-earth (66 chars)
    The Pillars of the Earth: Follett Teaches You to Build a Cathedral
  ⚠ slightly long — the-secret-life-of-bees (66 chars)
    The Secret Life of Bees: Kidd's Lily Grows Up. Fanning Just Cries.
  ⚠ slightly long — the-witcher (66 chars)
    The Witcher: Sapkowski's Cynicism Gets Lost in Netflix's Timelines
  ⚠ slightly long — the-woman-in-the-window (68 chars)
    The Woman in the Window: Finn's Twist Works. Wright Just Looks Good.
  ⚠ slightly long — wuthering-heights (66 chars)
    Wuthering Heights: Brontë's Strangeness Is What Fennell Can't Film
