============================================================
Script:  pipeline-revise
Started: 2026-04-15T00:03:09.528Z
============================================================
[00:03:09.531] [INFO ] Model config loaded from config/models.json
[00:03:27.261] [SKIP ] enders-game-film.json (already exists in 2-revised)
[00:03:27.773] [SKIP ] english-patient.json (already exists in 2-revised)
[00:03:28.276] [SKIP ] everything-everything.json (already exists in 2-revised)
[00:03:28.777] [SKIP ] fight-club.json (already exists in 2-revised)
[00:03:29.292] [SKIP ] five-feet-apart.json (already exists in 2-revised)
[00:03:29.794] [SKIP ] fourth-wing.json (already exists in 2-revised)
[00:03:30.297] [SKIP ] frankenstein.json (already exists in 2-revised)
[00:03:30.810] [SKIP ] geralds-game.json (already exists in 2-revised)
[00:03:31.312] [SKIP ] ghost-world.json (already exists in 2-revised)
[00:03:31.814] [SKIP ] girl-on-the-train.json (already exists in 2-revised)
[00:03:32.328] [SKIP ] girl-with-the-dragon-tattoo.json (already exists in 2-revised)
[00:03:32.829] [SKIP ] gone-girl.json (already exists in 2-revised)
[00:03:33.331] [SKIP ] good-omens.json (already exists in 2-revised)
[00:03:33.833] [SKIP ] hamnet.json (already exists in 2-revised)
[00:03:34.349] [SKIP ] hannibal-series.json (already exists in 2-revised)
[00:03:34.851] [SKIP ] heated-rivalry.json (already exists in 2-revised)
[00:03:35.366] [SKIP ] high-fidelity.json (already exists in 2-revised)
[00:03:35.868] [SKIP ] hillbilly-elegy.json (already exists in 2-revised)
[00:03:36.383] [SKIP ] hitchhikers-guide.json (already exists in 2-revised)
[00:03:36.885] [SKIP ] howls-moving-castle.json (already exists in 2-revised)
[00:03:37.402] [SKIP ] hunger-games-sunrise.json (already exists in 2-revised)
[00:03:37.915] [SKIP ] i-am-legend.json (already exists in 2-revised)
[00:03:38.419] [SKIP ] i-robot.json (already exists in 2-revised)
[00:03:38.921] [SKIP ] interview-with-the-vampire-amcplus.json (already exists in 2-revised)
[00:03:39.436] [SKIP ] into-the-wild.json (already exists in 2-revised)
[00:03:39.939] [SKIP ] it-ends-with-us.json (already exists in 2-revised)
[00:03:40.452] [SKIP ] it-muschietti.json (already exists in 2-revised)
[00:03:40.956] [SKIP ] jane-eyre.json (already exists in 2-revised)
[00:03:41.472] [INFO ] jaws.json — re-processing (missing required fields for pass: titles)
[00:03:41.473] [INFO ]   ↻  jaws — titles (anthropic/claude-sonnet-4-5)…
[00:03:45.711] [PASS ] jaws.json — Titles complete
[00:03:45.711] [INFO ]   BEFORE title (0 chars): null
[00:03:45.712] [INFO ]   AFTER  title (63 chars): Jaws Book vs Movie: Spielberg's Restraint Beats Benchley's Pulp
[00:03:45.712] [INFO ]   BEFORE meta  (0 chars): null
[00:03:45.712] [INFO ]   AFTER  meta  (147 chars): Jaws book vs movie: Benchley wrote a B-movie. Spielberg made it terrifying. Either order works — the film strips away the pulp and keeps the dread.
[00:03:46.225] [SKIP ] jurassic-park.json (already exists in 2-revised)
[00:03:46.729] [SKIP ] kite-runner.json (already exists in 2-revised)
[00:03:47.244] [SKIP ] la-confidential.json (already exists in 2-revised)
[00:03:47.746] [INFO ] lady-chatterleys-lover.json — re-processing (missing required fields for pass: titles)
[00:03:47.747] [INFO ]   ↻  lady-chatterleys-lover — titles (anthropic/claude-sonnet-4-5)…
[00:03:50.676] [WARN ] lady-chatterleys-lover.json: Titles validation failed — not written: pageTitle too long: 81 chars — will not write
[00:03:51.182] [SKIP ] les-miserables.json (already exists in 2-revised)
[00:03:51.685] [SKIP ] little-women.json (already exists in 2-revised)
[00:03:52.200] [SKIP ] lonesome-dove.json (already exists in 2-revised)
[00:03:52.701] [SKIP ] looking-for-alaska.json (already exists in 2-revised)
[00:03:53.202] [SKIP ] lord-of-the-flies.json (already exists in 2-revised)
[00:03:53.718] [SKIP ] love-simon.json (already exists in 2-revised)
[00:03:54.220] [SKIP ] margos-got-money-troubles.json (already exists in 2-revised)
[00:03:54.722] [SKIP ] me-before-you.json (already exists in 2-revised)
[00:03:55.236] [SKIP ] mickey-17.json (already exists in 2-revised)
[00:03:55.737] [SKIP ] misery.json (already exists in 2-revised)
[00:03:56.238] [SKIP ] my-brilliant-friend.json (already exists in 2-revised)
[00:03:56.739] [SKIP ] my-sisters-keeper.json (already exists in 2-revised)
[00:03:57.254] [SKIP ] narnia-magicians-nephew.json (already exists in 2-revised)
[00:03:57.756] [SKIP ] never-let-me-go.json (already exists in 2-revised)
[00:03:58.257] [SKIP ] normal-people.json (already exists in 2-revised)
[00:03:58.774] [SKIP ] of-mice-and-men.json (already exists in 2-revised)
[00:03:59.291] [SKIP ] olive-kitteridge.json (already exists in 2-revised)
[00:03:59.807] [SKIP ] on-the-road.json (already exists in 2-revised)
[00:04:00.309] [SKIP ] one-day.json (already exists in 2-revised)
[00:04:00.812] [SKIP ] one-flew-over-the-cuckoos-nest.json (already exists in 2-revised)
[00:04:01.326] [SKIP ] outlander.json (already exists in 2-revised)
[00:04:01.842] [SKIP ] pachinko.json (already exists in 2-revised)
[00:04:02.344] [SKIP ] people-we-meet-on-vacation.json (already exists in 2-revised)
[00:04:02.861] [SKIP ] perks-of-being-a-wallflower.json (already exists in 2-revised)
[00:04:03.362] [SKIP ] pet-sematary-2019.json (already exists in 2-revised)
[00:04:03.864] [SKIP ] presumed-innocent.json (already exists in 2-revised)
[00:04:04.377] [SKIP ] pride-and-prejudice.json (already exists in 2-revised)
[00:04:04.880] [SKIP ] project-hail-mary.json (already exists in 2-revised)
[00:04:05.382] [SKIP ] ready-player-one.json (already exists in 2-revised)
[00:04:05.897] [SKIP ] rebecca.json (already exists in 2-revised)
[00:04:06.399] [SKIP ] remains-of-the-day.json (already exists in 2-revised)
[00:04:06.900] [SKIP ] remarkably-bright-creatures.json (already exists in 2-revised)
[00:04:07.412] [SKIP ] reminders-of-him.json (already exists in 2-revised)
[00:04:07.916] [SKIP ] room.json (already exists in 2-revised)
[00:04:08.417] [SKIP ] roots-2016.json (already exists in 2-revised)
[00:04:08.919] [SKIP ] rosemarys-baby.json (already exists in 2-revised)
[00:04:09.432] [SKIP ] schindlers-list.json (already exists in 2-revised)
[00:04:09.933] [SKIP ] seabiscuit.json (already exists in 2-revised)
[00:04:10.434] [SKIP ] sense-and-sensibility.json (already exists in 2-revised)
[00:04:10.937] [SKIP ] shadow-and-bone.json (already exists in 2-revised)
[00:04:11.439] [SKIP ] sharp-objects.json (already exists in 2-revised)
[00:04:11.953] [SKIP ] shogun-2024.json (already exists in 2-revised)
[00:04:12.455] [SKIP ] silence-of-the-lambs.json (already exists in 2-revised)
[00:04:12.971] [SKIP ] sophies-choice.json (already exists in 2-revised)
[00:04:13.472] [SKIP ] sphere.json (already exists in 2-revised)
[00:04:13.974] [SKIP ] stardust.json (already exists in 2-revised)
[00:04:14.486] [SKIP ] station-eleven.json (already exists in 2-revised)
[00:04:14.989] [SKIP ] talented-mr-ripley.json (already exists in 2-revised)
[00:04:15.491] [SKIP ] the-book-thief.json (already exists in 2-revised)
[00:04:15.992] [SKIP ] the-client.json (already exists in 2-revised)
[00:04:16.493] [SKIP ] the-color-purple.json (already exists in 2-revised)
[00:04:17.009] [SKIP ] the-count-of-monte-cristo.json (already exists in 2-revised)
[00:04:17.510] [SKIP ] the-electric-state.json (already exists in 2-revised)
[00:04:18.021] [SKIP ] the-fault-in-our-stars.json (already exists in 2-revised)
[00:04:18.527] [SKIP ] the-firm.json (already exists in 2-revised)
[00:04:19.029] [SKIP ] the-girl-with-the-dragon-tattoo-fincher.json (already exists in 2-revised)
[00:04:19.545] [SKIP ] the-giver.json (already exists in 2-revised)
[00:04:20.046] [SKIP ] the-glass-castle.json (already exists in 2-revised)
[00:04:20.547] [SKIP ] the-godfather.json (already exists in 2-revised)
[00:04:21.063] [SKIP ] the-great-gatsby.json (already exists in 2-revised)
[00:04:21.566] [SKIP ] the-handmaids-tale.json (already exists in 2-revised)
[00:04:22.078] [SKIP ] the-haunting-of-hill-house.json (already exists in 2-revised)
[00:04:22.580] [SKIP ] the-help.json (already exists in 2-revised)
[00:04:23.083] [SKIP ] the-hours.json (already exists in 2-revised)
[00:04:23.597] [SKIP ] the-housemaid.json (already exists in 2-revised)
[00:04:24.099] [SKIP ] the-lincoln-lawyer.json (already exists in 2-revised)
[00:04:24.601] [SKIP ] the-longest-ride.json (already exists in 2-revised)
[00:04:25.102] [SKIP ] the-lovely-bones.json (already exists in 2-revised)
[00:04:25.615] [SKIP ] the-martian.json (already exists in 2-revised)
[00:04:26.119] [SKIP ] the-maze-runner-film.json (already exists in 2-revised)
[00:04:26.621] [SKIP ] the-notebook.json (already exists in 2-revised)
