============================================================
Script:  pipeline-revise
Started: 2026-04-12T14:17:48.603Z
============================================================
[14:17:48.605] [INFO ] Model config loaded from config/models.json
[14:18:33.525] [SKIP ] people-we-meet-on-vacation.json (already exists in 2-revised)
[14:18:34.043] [SKIP ] perks-of-being-a-wallflower.json (already exists in 2-revised)
[14:18:34.545] [SKIP ] pet-sematary-2019.json (already exists in 2-revised)
[14:18:35.060] [SKIP ] presumed-innocent.json (already exists in 2-revised)
[14:18:35.578] [SKIP ] pride-and-prejudice.json (already exists in 2-revised)
[14:18:36.094] [SKIP ] project-hail-mary.json (already exists in 2-revised)
[14:18:36.600] [SKIP ] ready-player-one.json (already exists in 2-revised)
[14:18:37.127] [SKIP ] rebecca.json (already exists in 2-revised)
[14:18:37.646] [SKIP ] remains-of-the-day.json (already exists in 2-revised)
[14:18:38.166] [SKIP ] remarkably-bright-creatures.json (already exists in 2-revised)
[14:18:38.698] [SKIP ] reminders-of-him.json (already exists in 2-revised)
[14:18:39.213] [SKIP ] room.json (already exists in 2-revised)
[14:18:39.715] [SKIP ] roots-2016.json (already exists in 2-revised)
[14:18:40.217] [SKIP ] rosemarys-baby.json (already exists in 2-revised)
[14:18:40.732] [SKIP ] schindlers-list.json (already exists in 2-revised)
[14:18:41.234] [SKIP ] seabiscuit.json (already exists in 2-revised)
[14:18:41.749] [SKIP ] sense-and-sensibility.json (already exists in 2-revised)
[14:18:42.252] [SKIP ] shadow-and-bone.json (already exists in 2-revised)
[14:18:42.766] [SKIP ] sharp-objects.json (already exists in 2-revised)
[14:18:43.269] [SKIP ] shogun-2024.json (already exists in 2-revised)
[14:18:43.787] [SKIP ] silence-of-the-lambs.json (already exists in 2-revised)
[14:18:44.303] [SKIP ] sophies-choice.json (already exists in 2-revised)
[14:18:44.805] [SKIP ] sphere.json (already exists in 2-revised)
[14:18:45.305] [SKIP ] stardust.json (already exists in 2-revised)
[14:18:45.823] [SKIP ] station-eleven.json (already exists in 2-revised)
[14:18:46.355] [SKIP ] talented-mr-ripley.json (already exists in 2-revised)
[14:18:46.874] [SKIP ] the-book-thief.json (already exists in 2-revised)
[14:18:47.391] [SKIP ] the-client.json (already exists in 2-revised)
[14:18:47.906] [SKIP ] the-color-purple.json (already exists in 2-revised)
[14:18:48.425] [SKIP ] the-count-of-monte-cristo.json (already exists in 2-revised)
[14:18:48.926] [SKIP ] the-electric-state.json (already exists in 2-revised)
[14:18:49.444] [SKIP ] the-fault-in-our-stars.json (already exists in 2-revised)
[14:18:49.977] [SKIP ] the-firm.json (already exists in 2-revised)
[14:18:50.493] [SKIP ] the-girl-with-the-dragon-tattoo-fincher.json (already exists in 2-revised)
[14:18:51.011] [SKIP ] the-giver.json (already exists in 2-revised)
[14:18:51.528] [SKIP ] the-glass-castle.json (already exists in 2-revised)
[14:18:52.045] [SKIP ] the-great-gatsby.json (already exists in 2-revised)
[14:18:52.579] [SKIP ] the-handmaids-tale.json (already exists in 2-revised)
[14:18:53.113] [SKIP ] the-haunting-of-hill-house.json (already exists in 2-revised)
[14:18:53.614] [SKIP ] the-help.json (already exists in 2-revised)
[14:18:54.130] [SKIP ] the-hours.json (already exists in 2-revised)
[14:18:54.648] [SKIP ] the-housemaid.json (already exists in 2-revised)
[14:18:55.165] [SKIP ] the-lincoln-lawyer.json (already exists in 2-revised)
[14:18:55.682] [SKIP ] the-longest-ride.json (already exists in 2-revised)
[14:18:56.201] [SKIP ] the-lovely-bones.json (already exists in 2-revised)
[14:18:56.733] [SKIP ] the-martian.json (already exists in 2-revised)
[14:18:57.250] [SKIP ] the-maze-runner.json (already exists in 2-revised)
[14:18:57.769] [SKIP ] the-maze-runner-film.json (already exists in 2-revised)
[14:18:58.284] [SKIP ] the-notebook.json (already exists in 2-revised)
[14:18:58.786] [SKIP ] the-odyssey.json (already exists in 2-revised)
[14:18:59.319] [SKIP ] the-outsider.json (already exists in 2-revised)
[14:18:59.833] [SKIP ] the-outsiders.json (already exists in 2-revised)
[14:19:00.334] [SKIP ] the-pelican-brief.json (already exists in 2-revised)
[14:19:00.836] [SKIP ] the-pianist.json (already exists in 2-revised)
[14:19:01.338] [SKIP ] the-picture-of-dorian-gray.json (already exists in 2-revised)
[14:19:01.853] [SKIP ] the-pillars-of-the-earth.json (already exists in 2-revised)
[14:19:02.355] [SKIP ] the-princess-bride.json (already exists in 2-revised)
[14:19:02.870] [SKIP ] the-road.json (already exists in 2-revised)
[14:19:03.372] [SKIP ] the-secret-garden.json (already exists in 2-revised)
[14:19:03.873] [SKIP ] the-secret-life-of-bees.json (already exists in 2-revised)
[14:19:04.374] [SKIP ] the-shining.json (already exists in 2-revised)
[14:19:04.893] [SKIP ] the-sisterhood-of-the-traveling-pants.json (already exists in 2-revised)
[14:19:05.393] [SKIP ] the-three-body-problem.json (already exists in 2-revised)
[14:19:05.923] [SKIP ] the-thursday-murder-club.json (already exists in 2-revised)
[14:19:06.442] [SKIP ] the-time-travelers-wife.json (already exists in 2-revised)
[14:19:06.961] [SKIP ] the-witcher.json (already exists in 2-revised)
[14:19:07.477] [SKIP ] the-woman-in-the-window.json (already exists in 2-revised)
[14:19:07.979] [SKIP ] thirteen-reasons-why.json (already exists in 2-revised)
[14:19:08.496] [SKIP ] to-kill-a-mockingbird.json (already exists in 2-revised)
[14:19:09.027] [SKIP ] verity.json (already exists in 2-revised)
[14:19:09.531] [SKIP ] water-for-elephants.json (already exists in 2-revised)
[14:19:10.063] [SKIP ] where-the-crawdads-sing.json (already exists in 2-revised)
[14:19:10.566] [SKIP ] white-noise.json (already exists in 2-revised)
[14:19:11.098] [SKIP ] wolf-hall.json (already exists in 2-revised)
[14:19:11.616] [SKIP ] world-war-z.json (already exists in 2-revised)
[14:19:12.149] [SKIP ] wuthering-heights.json (already exists in 2-revised)

── Summary ─────────────────────────────────────
  Total:               163
  Succeeded:           0
  Skipped:             163
  Failed:              0
  Pass:                2
  Dry run:             no
────────────────────────────────────────────────
[14:19:12.150] [INFO ] No records to checkpoint

============================================================
Finished: 2026-04-12T14:19:12.151Z
Elapsed:  83.5s
Log:      C:\Users\andre\projects\movies\logs\2026-04-12_10-17-48_pipeline-revise.log
============================================================
